name,normalized_name,category,subcategory,region,first_seen_batch,notes
Sapstring Bandage,sapstring bandage,Consumable,Bandage,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Travel bleed recovery bandage
Whisperline Travel Ration,whisperline travel ration,Consumable,Food,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Long-road ration loaf
Resin Patch Kit,resin patch kit,Material,Repair Kit,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Patch harness tears
Ward-Chalk Packet,ward chalk packet,Material,Inscription,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Refresh wardstone sigils
Lowlight Shroom Tea,lowlight shroom tea,Consumable,Drink,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Night-vision clearing tea
Chorus Bridge Torch,chorus bridge torch,Gear,Lantern,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Humming bridge torch
Thornbar Sling,thornbar sling,Gear,Ranged,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Resin-shot sling
Warden's Sapsteel Buckle,warden s sapsteel buckle,Gear,Belt,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Light armor buckle
Smuggler's Knot Hook,smuggler s knot hook,Curio,Tool,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Rope snag hook
Murmurstone Charm,murmurstone charm,Curio,Charm,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Charm vs ward drain
Rootsong Listening Horn,rootsong listening horn,Curio,Instrument,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Align cairn grooves
Bivouac Tent Stakes,bivouac tent stakes,Material,Hardware,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Slick ground tent stakes
Roadling Trade Token,roadling trade token,Curio,Token,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Milepost barter token
Crossing Guard's Satchel,crossing guard s satchel,Gear,Bag,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Drynote patrol satchel
Tanglecut Hatchet,tanglecut hatchet,Gear,Axe,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Sapling clearing axe
Sap-Resin Salve,sap resin salve,Consumable,Salve,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Sting resistant salve
Rivergrain Porridge Mix,rivergrain porridge mix,Consumable,Food,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Camp porridge base
Smudged Route Permit,smudged route permit,Document,Permit,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Forged travel paper
Cairnkeeper's Beads,cairnkeeper s beads,Curio,Totem,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Warded bead string
Coiled Line Spool,coiled line spool,Material,Rope,Greatwood Whisperline,2026-01-04_SIGMA_Part01,Bridge rope coil
